# Open 402 Directory — Registry of known domains
# Format: domain | status | source | added_date
# Total domains: 2745
# Total endpoints: 14914
otaku.so | unclaimed | 402index | 2026-03-23
research.heurist.ai | unclaimed | 402index | 2026-03-23
agent-commerce.store | unclaimed | 402index | 2026-03-23
oracle.neofreight.net | unclaimed | 402index | 2026-03-23
graph.codex.io | unclaimed | 402index | 2026-03-23
edgar-search.mpp.paywithlocus.com | unclaimed | 402index | 2026-03-23
fewsats.com | unclaimed | 402index | 2026-03-23
weather.x402app.org | unclaimed | 402index | 2026-03-23
isitarug.com | unclaimed | 402index | 2026-03-23
trader.lpxpoly.com | unclaimed | 402index | 2026-03-23
punksx402.xyz | unclaimed | 402index | 2026-03-23
x402-production-f9bd.up.railway.app | unclaimed | 402index | 2026-03-23
openagents.com | unclaimed | 402index | 2026-03-23
openrouter.ai | unclaimed | 402index | 2026-03-23
realtime.oxylabs.io | unclaimed | 402index | 2026-03-23
xquant.fund | unclaimed | 402index | 2026-03-23
agents.prospectbutcher.shop | unclaimed | 402index | 2026-03-23
axol-x402-worker.axol.workers.dev | unclaimed | 402index | 2026-03-23
dispatches.mystere.me | unclaimed | 402index | 2026-03-23
api.rencom.ai | unclaimed | 402index | 2026-03-23
tasks.secureyourbitco.in | unclaimed | 402index | 2026-03-23
serpapi.com | unclaimed | 402index | 2026-03-23
skillscan.chitacloud.dev | unclaimed | 402index | 2026-03-23
solanaprox.com | unclaimed | 402index | 2026-03-23
speedread.fit | unclaimed | 402index | 2026-03-23
rpc.tempo.xyz | unclaimed | 402index | 2026-03-23
botlab.dev | unclaimed | 402index | 2026-03-23
x402song.com | unclaimed | 402index | 2026-03-23
api.proxy402.fun | unclaimed | 402index | 2026-03-23
api-v2.fluxpointstudios.com | unclaimed | 402index | 2026-03-23
api.pewx402.fun | unclaimed | 402index | 2026-03-23
satsapi.dev | unclaimed | 402index | 2026-03-23
dev-api.rencom.ai | unclaimed | 402index | 2026-03-23
search-api-0tde.onrender.com | unclaimed | 402index | 2026-03-23
httpstat.us | unclaimed | 402index | 2026-03-23
thinkexchange.ai | unclaimed | 402index | 2026-03-23
gen.portalfoundation.ai | unclaimed | 402index | 2026-03-23
